id,coupon_cnt
"76603","1"
"76754","5"
"77166","1"
"77497","1"
"77542","1"
"77859","5"
"78070","3"
"78071","1"
"78435","5"
"78519","2"
"78581","1"
"78745","1"
"78778","2"
"78781","1"
"78913","2"
"79108","3"
"79129","6"
"80056","1"
"80585","5"
"80749","20"
"80930","11"
"81285","2"
"81419","10"
"81713","3"
"81769","1"
"81791","4"
"82212","1"
"82281","6"
"82339","3"
"82475","5"
"82645","1"
"82747","3"
"83640","10"
"83779","4"
"84098","1"
"84455","1"
"84828","3"
"85229","9"
"85475","1"
"86041","11"
"86045","4"
"86507","5"
"86907","9"
"87243","11"
"87405","2"
"87650","7"
"87652","2"
"87688","7"
"87823","1"
"87831","13"
"87889","2"
"87950","11"
"88098","16"
"88199","3"
"88280","1"
"88766","1"
"88938","8"
"89078","4"
"89170","2"
"89397","1"
"89514","3"
"89681","3"
"89764","7"
"90440","3"
"90770","1"
"90771","1"
"90784","11"
"90816","1"
"90838","2"
"90862","11"
"90864","1"
"91080","4"
"91120","18"
"91246","8"
"91485","1"
"91549","1"
"91790","5"
"92079","1"
"92291","6"
"92484","3"
"92936","1"
"92973","4"
"93019","1"
"93251","1"
"93439","1"
"93619","1"
"93830","3"
"93939","1"
"94174","8"
"94479","1"
"94960","5"
"95029","4"
"95039","6"
"95247","1"
"95324","2"
"95335","4"
"95435","1"
"95541","5"
"95708","6"
"95763","3"
"95829","1"
"95939","2"
"95989","2"
"95997","1"
"96189","2"
"96207","3"
"96261","11"
"96282","1"
"96634","7"
"96750","6"
"96801","1"
"97069","10"
"97313","5"
"98217","2"
"98895","2"
"99037","6"
"99067","1"
"99070","3"
"99140","1"
"100103","9"
"100230","1"
"100510","1"
"100604","1"
"100825","4"
"101171","1"
"101350","2"
"101467","9"
"101630","2"
"101636","1"
"101721","2"
"101810","2"
"101983","2"
"102111","1"
"102254","2"
"102375","1"
"102466","1"
"102719","23"
"102724","31"
"103224","2"
"103284","1"
"103408","5"
"103412","4"
"103478","1"
"103719","1"
"103866","1"
"103888","1"
"104023","4"
"104374","1"
"104524","3"
"104875","1"
"105073","3"
"105287","1"
"105300","6"
"105444","5"
"105545","1"
"105799","3"
"105855","1"
"105857","1"
"106131","3"
"106443","1"
"106714","1"
"106912","1"
"107193","1"
"107339","5"
"107518","1"
"107542","3"
"107831","8"
"107908","14"
"107941","3"
"108244","5"
"108639","1"
"108961","3"
"109192","2"
"109259","1"
"109357","1"
"109392","2"
"109529","1"
"109766","1"
"109813","1"
"110112","2"
"110166","2"
"110294","1"
"110497","1"
"110546","4"
"110621","11"
"110672","2"
"110711","1"
"110895","5"
"111251","1"
"111304","1"
"111414","6"
"111496","1"
"111632","1"
"111833","1"
"112090","1"
"112510","18"
"112540","1"
"112831","2"
"113166","12"
"113573","1"
"114019","1"
"114066","2"
"114069","3"
"114142","3"
"114460","1"
"114594","1"
"114730","1"
"114903","2"
"115044","3"
"115088","2"
"115165","1"
"115172","4"
"115372","1"
"115721","2"
"115758","2"
"115811","2"
"116333","3"
"116335","1"
"116736","1"
"116749","4"
"116916","1"
"116980","5"
"117271","1"
"117282","1"
"117302","1"
"117529","1"
"118078","1"
"118244","1"
"118265","4"
"118612","1"
"118958","1"
"119175","1"
"119291","2"
"119321","1"
"119367","1"
"119507","1"
"120050","2"
"120228","1"
"120249","2"
"120254","2"
"120432","3"
"120785","1"
"120844","3"
"121046","1"
"121095","5"
"121255","2"
"121430","1"
"121463","1"
"121467","1"
"121613","3"
"121674","4"
"121805","9"
"121819","1"
"122194","1"
"122235","3"
"122255","6"
"122423","4"
"122868","2"
"123390","1"
"123478","1"
"123650","6"
"123688","4"
"124243","2"
"124817","1"
"124834","1"
"125005","1"
"125037","1"
"125178","1"
"125952","1"
"126101","4"
"126467","1"
"126745","1"
"127362","2"
"127384","2"
"127498","1"
"127556","1"
"127768","3"
"127900","1"
"127976","2"
"128052","1"
"128124","1"
"128130","1"
"128252","8"
"128415","1"
"128552","3"
"128568","1"
"128882","3"
"129206","5"
"129239","5"
"129466","5"
"129486","1"
"129681","1"
"129717","1"
"129984","2"
"129998","2"
"130053","2"
"130058","2"
"130076","1"
"130081","3"
"130161","1"
"130400","2"
"130494","4"
"130634","5"
"131108","1"
"131206","1"
"131285","2"
"131303","8"
"131373","1"
"131458","3"
"131930","3"
"132091","2"
"132459","1"
"133060","2"
"133193","2"
"133268","8"
"133551","1"
"133797","1"
"133799","1"
"133814","1"
"133929","14"
"133936","2"
"134047","1"
"134151","1"
"134174","4"
"134454","1"
"134510","6"
"134619","2"
"134757","3"
"134813","3"
"135155","3"
"135495","1"
"135662","2"
"135782","2"
"135802","1"
"136429","3"
"136464","1"
"136556","1"
"136737","2"
"136781","2"
"136803","4"
"137204","1"
"137234","3"
"137483","5"
"137500","1"
"137516","4"
"137706","2"
"137785","2"
"138017","1"
"138022","1"
"138395","3"
"138675","2"
"139082","1"
"139200","1"
"139364","7"
"139398","1"
"139462","1"
"139776","1"
"139861","6"
"140014","2"
"140145","7"
"140146","4"
"140205","1"
"140284","5"
"140401","3"
"140406","2"
"140505","2"
"140584","1"
"140633","2"
"140675","4"
"140844","1"
"140888","1"
"141073","1"
"141153","2"
"141280","1"
"141297","6"
"141759","1"
"141834","1"
"142170","1"
"142296","4"
"142382","1"
"142748","8"
"142774","18"
"143017","1"
"143174","2"
"143198","2"
"143253","1"
"143469","1"
"143595","1"
"143650","1"
"143800","1"
"144174","1"
"144288","1"
"144383","2"
"144501","1"
"144679","2"
"144681","1"
"144764","3"
"145166","1"
"145309","2"
"145897","1"
"145931","1"
"145941","2"
"146189","1"
"146478","1"
"146753","1"
"146860","1"
"146921","1"
"147274","2"
"147534","2"
"147541","1"
"147615","1"
"147664","6"
"147681","1"
"147689","2"
"147798","3"
"147852","1"
"147890","4"
"148205","3"
"148260","1"
"148386","5"
"148498","3"
"149005","5"
"149107","1"
"149131","4"
"149175","1"
"149565","9"
"149854","2"
"149864","1"
"150011","1"
"150108","2"
"150155","2"
"150257","3"
"150451","3"
"150961","1"
"151110","2"
"151115","5"
"151201","3"
"151244","1"
"151284","2"
"151314","1"
"151321","2"
"151503","2"
"151761","1"
"151769","2"
"151865","1"
"151966","2"
"152088","1"
"152326","4"
"152374","4"
"152394","1"
"152486","1"
"152535","2"
"152567","1"
"152674","3"
"152884","1"
"153340","1"
"153455","2"
"153643","1"
"153831","3"
"153871","1"
"153900","4"
"154122","1"
"154359","1"
"154386","4"
"154486","1"
"154560","1"
"154774","3"
"154816","2"
"154817","1"
"154881","2"
"155003","3"
"155010","1"
"155022","1"
"155062","1"
"155088","1"
"155111","2"
"155192","3"
"155278","1"
"155418","2"
"155468","2"
"155577","2"
"155603","1"
"155626","2"
"155722","2"
"155869","1"
"156360","1"
"156387","1"
"156425","6"
"156463","1"
"156504","1"
"156520","1"
"156609","2"
"156654","1"
"156981","9"
"157562","1"
"157661","1"
"157663","2"
"157737","1"
"157738","2"
"157915","4"
"158042","1"
"158117","1"
"158213","1"
"158353","2"
"158361","1"
"158409","1"
"158419","1"
"158433","1"
"158700","1"
"158801","2"
"158803","2"
"158970","1"
"159068","1"
"159106","2"
"159140","1"
"159171","1"
"159212","3"
"159257","2"
"159258","1"
"159287","1"
"159308","1"
"159365","1"
"159383","1"
"159508","1"
"159915","1"
"159944","1"
"159998","1"
"160453","2"
"160598","2"
"160611","1"
"160637","1"
"160705","1"
"160730","1"
"160806","3"
"160867","1"
"161031","1"
"161148","2"
"161204","1"
"161212","1"
"161228","1"
"161294","2"
"161409","1"
"161463","1"
"161547","1"
"162035","1"
"162347","1"
"162410","1"
"162458","1"
"162630","1"
"162709","1"
"162844","1"
"162873","2"
"162874","1"
"163071","1"
"163142","1"
"163203","1"
"163226","4"
"163234","1"
"163669","1"
"163949","1"
"164104","2"
"164140","1"
"164175","2"
"164344","1"
"164443","1"
"164636","3"
"164650","4"
"164702","1"
"164707","1"
"164991","6"
"165057","1"
"165068","1"
"165133","1"
"165240","6"
"165315","1"
"165354","4"
"165395","1"
"165504","1"
"165731","4"
"165751","1"
"165806","1"
"165821","4"
"165834","1"
"165877","1"
"166024","1"
"166067","1"
"166201","1"
"166212","1"
"166465","1"
"166506","2"
"166603","1"
"166991","4"
"167154","6"
"167204","1"
"167341","4"
"167349","1"
"167374","1"
"167522","1"
"167706","1"
"167829","1"
"167944","1"
"168041","1"
"168198","1"
"168208","1"
"168383","2"
"168422","1"
"168512","3"
"168545","1"
"168565","1"
"168567","1"
"168601","1"
"168655","1"
"168821","1"
"168828","1"
"168877","2"
"168896","1"
"169224","1"
"169313","4"
"169514","2"
"169517","1"
"169696","1"
"169881","1"
"169910","1"
"170028","1"
"170040","2"
"170093","1"
"170142","1"
"170272","1"
"170614","1"
"170662","1"
"170790","1"
"170831","2"
"170836","1"
"170896","1"
"170974","1"
"171028","1"
"171059","1"
"171212","1"
"171246","1"
"171303","1"
"171367","1"
"171513","1"
"171544","1"
"171686","2"
"172062","2"
"172083","4"
"172687","1"
"172862","11"
"173284","1"
"173347","1"
"173390","2"
"173482","1"
"173571","1"
"173631","4"
"173640","1"
"173834","1"
"173917","2"
"174310","1"
"174374","1"
"174485","1"
"174680","1"
"174747","5"
"175086","1"
"175362","3"
"175366","2"
"175376","1"
"175579","1"
"175585","1"
"175651","1"
"175672","1"
"175749","2"
"175835","1"
"175897","1"
"176216","1"
"176270","1"
"176584","1"
"176712","1"
"177033","1"
"177348","4"
"177406","3"
"177649","1"
"178072","1"
"178113","3"
"178693","1"
"178706","1"
"178778","1"
"179165","1"
"179330","1"
"179337","1"
"179390","4"
"179457","1"
"179725","2"
"179911","1"
"179961","1"
"179966","1"
"180181","5"
"180339","1"
"180352","3"
"180428","1"
"180483","7"
"180593","1"
"180856","1"
"180864","1"
"180877","3"
"181072","1"
"181120","1"
"181228","1"
"181260","1"
"181428","1"
"181570","2"
"181680","1"
"181906","1"
"182145","1"
"182437","1"
"182562","2"
"182813","1"
"182944","7"
"183034","3"
"183092","1"
"183164","1"
"183190","1"
"183840","1"
"183889","1"
"183893","1"
"183977","1"
"184012","1"
"184024","1"
"184127","3"
"184355","2"
"184373","1"
"184453","5"
"184512","1"
"184541","1"
"184777","1"
"185288","2"
"185612","1"
"186075","1"
"186324","1"
"186468","2"
"186779","4"
"186831","2"
"187159","1"
"187348","1"
"187359","1"
"187594","2"
"187992","5"
"188091","4"
"188428","1"
"188431","1"
"188774","1"
"188884","1"
"188958","1"
"189063","1"
"189123","1"
"189139","2"
"189179","1"
"189234","1"
"189398","3"
"189464","3"
"189511","1"
"189677","1"
"190106","1"
"190144","2"
"190246","2"
"190566","1"
"190717","1"
"190744","2"
"190778","3"
"190923","1"
"191055","2"
"191063","3"
"191088","1"
"191166","1"
"191221","1"
"191403","1"
"191802","1"
"191956","2"
"192144","1"
"192379","1"
"192532","1"
"192554","2"
"192887","3"
"192931","3"
"193018","4"
"193043","2"
"193066","1"
"193095","1"
"193216","1"
"193561","2"
"193721","1"
"193983","2"
"194056","1"
"194073","1"
"194084","1"
"194085","1"
"194164","1"
"194217","1"
"194546","2"
"194557","1"
"194718","1"
"194868","2"
"195238","2"
"195251","1"
"195331","1"
"195370","3"
"195415","1"
"195488","1"
"195686","2"
"195709","2"
"195713","1"
"195908","1"
"195934","1"
"195944","1"
"195991","2"
"196003","2"
"196021","1"
"196216","1"
"196546","1"
"196741","1"
"196776","2"
"196934","1"
"196948","2"
"197079","2"
"197745","1"
"197934","2"
"198052","1"
"198104","2"
"198109","1"
"198170","2"
"198192","1"
"198276","6"
"198325","1"
"198355","1"
"198416","1"
"199159","1"
"199302","1"
"199389","5"
"199459","1"
"200043","1"
"200525","1"
"201147","1"
"201151","2"
"201195","1"
"201253","1"
"201347","1"
"201348","1"
"201355","1"
"201451","1"
"201693","1"
"202069","1"
"202141","2"
"202177","1"
"202201","1"
"202274","1"
"202368","1"
"202407","1"
"202520","2"
"202703","2"
"202953","3"
"203517","1"
"203518","2"
"203528","1"
"203574","1"
"203605","2"
"203807","1"
"204013","2"
"204105","1"
"204318","2"
"204374","1"
"204470","7"
"204764","1"
"204820","1"
"204868","1"
"205223","2"
"205291","1"
"205407","1"
"205475","2"
"205720","1"
"205776","1"
"206076","1"
"206245","2"
"206333","1"
"206661","1"
"206775","3"
"207436","1"
"207626","2"
"208119","1"
"208317","3"
"208500","2"
"208506","1"
"208586","1"
"208910","1"
"209061","1"
"209238","2"
"209253","1"
"209347","2"
"210030","2"
"210157","1"
"210186","3"
"210654","1"
"210675","1"
"210809","7"
"211061","2"
"211063","1"
"211250","2"
"211336","1"
"211356","1"
"211428","2"
"211626","1"
"212802","2"
"212903","2"
"212930","1"
"213357","1"
"213365","1"
"213495","1"
"213923","5"
"214002","5"
"214238","2"
"214684","1"
"214780","1"
"214789","1"
"214825","1"
"214888","1"
"214924","5"
"215272","1"
"215293","2"
"215365","1"
"215537","1"
"215689","1"
"215779","1"
"216036","1"
"216253","1"
"216350","1"
"216449","1"
"216518","1"
"216667","4"
"216683","3"
"216925","1"
"217053","1"
"217414","2"
"217622","4"
"217648","1"
"217756","1"
"217890","1"
"218204","1"
"218643","1"
"218647","1"
"219044","1"
"219078","1"
"219084","1"
"219317","1"
"219701","1"
"219777","2"
"219945","1"
"219984","1"
"220043","1"
"220442","1"
"220485","1"
"220522","1"
"220533","1"
"220650","1"
"220986","1"
"221002","1"
"221105","1"
"221378","1"
"221429","1"
"221438","1"
"221575","1"
"221614","1"
"221729","1"
"221760","3"
"222036","1"
"222091","1"
"222453","5"
"222507","1"
"222758","2"
"222931","1"
"223127","1"
"223477","1"
"223641","3"
"223913","1"
"223949","1"
"224358","3"
"224508","1"
"224591","4"
"224597","1"
"224879","1"
"224898","1"
"225537","5"
"225543","1"
"225625","1"
"225798","1"
"225828","1"
"225843","3"
"225927","1"
"226118","2"
"226339","1"
"226400","1"
"226408","1"
"226572","1"
"226705","1"
"226824","1"
"227081","1"
"227137","1"
"227245","1"
"227292","1"
"227523","1"
"227557","1"
"227711","1"
"227811","1"
"227890","1"
"227898","1"
"228170","3"
"228448","2"
"228485","2"
"228649","1"
"228774","1"
"229484","1"
"229572","1"
"229667","1"
"230091","1"
"230104","1"
"230430","1"
"230560","1"
"230961","1"
"230991","1"
"231172","1"
"231213","1"
"231512","1"
"231569","3"
"231617","2"
"231859","1"
"232140","2"
"232295","2"
"232526","1"
"232538","1"
"232544","1"
"232929","1"
"232952","2"
"232998","1"
"233056","1"
"233366","1"
"233461","1"
"233467","2"
"233523","1"
"234274","1"
"234505","3"
"234565","1"
"234586","1"
"234659","1"
"234854","1"
"234926","1"
"235234","1"
"235450","1"
"235505","1"
"235619","1"
"235625","1"
"235644","1"
"235747","1"
"235789","1"
"236042","1"
"236101","1"
"236306","1"
"236580","2"
"236581","1"
"236820","1"
"237050","1"
"237258","1"
"237284","1"
"237402","2"
"238256","1"
"238320","1"
"240119","1"
"240666","1"
"241529","2"
"241530","1"
"241896","1"
"241941","1"
"241975","2"
"242328","1"
"242952","1"
"243264","1"
"244349","1"
"244390","2"
"244497","1"
"244661","1"
"245227","2"
"245518","1"
"245836","1"
"246324","1"
"246530","1"
"246605","2"
"246733","1"
"246838","1"
"247622","1"
"247652","1"
"247812","2"
"247880","1"
"248139","1"
"248397","3"
"248728","2"
"248949","3"
"249008","1"
"249367","2"
"249571","2"
"250106","1"
"250353","2"
"250737","1"
"251916","1"
"252225","1"
"252718","1"
"252762","1"
"252980","1"
"253005","1"
"253014","1"
"253169","1"
"253354","1"
"253423","1"
"253936","1"
"254213","1"
"254298","2"
"254509","1"
"254717","4"
"254874","1"
"255219","1"
"255873","2"
"256071","1"
"256086","1"
"256286","2"
"257124","1"
"257498","1"
"257790","1"
"257815","2"
"258330","1"
"258632","1"
"258676","1"
"258826","1"
"258920","1"
"259558","1"
"259582","2"
"260198","1"
"260730","2"
"260826","2"
"262268","1"
"263473","1"
"263661","1"
"264211","1"
"264349","3"
"264402","1"
"264524","2"
"264572","1"
"264791","2"
"265398","1"
"265579","1"
"265607","1"
"266342","1"
"266456","3"
"266756","1"
"266853","1"
"267165","2"
"267452","1"
"267597","3"
"267876","3"
"268645","1"
"268745","2"
"268980","1"
"269163","1"
"269248","1"
"269886","1"
"270129","1"
"270953","1"
"271148","1"
"271469","1"
"271653","1"
"271725","1"
"271783","1"
"272973","3"
"273090","2"
"273636","2"
"273846","1"
"274305","1"
"274394","1"
"274522","3"
"274748","2"
"274997","1"
"275114","1"
"275552","3"
"275928","1"
"276218","1"
"276493","4"
"276559","1"
"276566","1"
"276826","1"
"277148","1"
"277155","1"
"277400","1"
"277637","1"
"277719","1"
"277752","1"
"279138","2"
"279325","1"
"279334","1"
"279635","3"
"279690","5"
"279770","1"
"279992","1"
"280674","2"
"280722","1"
"280732","2"
"280849","1"
"280964","4"
"281246","1"
"281377","1"
"281443","1"
"281716","1"
"281974","1"
"282521","3"
"282651","3"
"282797","2"
"283164","1"
"283177","1"
"283402","1"
"283423","1"
"283451","1"
"283550","2"
"284046","1"
"284102","1"
"284126","1"
"284432","1"
"284674","2"
"284931","2"
"285266","1"
"285414","1"
"285805","3"
"286067","2"
"286110","1"
"286635","1"
"287350","1"
"287580","1"
"288263","1"
"288395","3"
"288425","1"
"288707","1"
"288980","1"
"289044","1"
"289121","2"
"289229","1"
"289452","3"
"289554","1"
"289680","1"
"289998","1"
"290312","1"
"290401","1"
"290446","1"
"290539","1"
"290874","1"
"291645","1"
"292227","1"
"292290","3"
"292334","1"
"292685","1"
"292710","1"
"293636","1"
"294932","1"
"294948","1"
"296019","1"
"296101","1"
"296185","1"
"296241","2"
"296495","1"
"296614","2"
"296790","2"
"298045","2"
"298247","1"
"298270","1"
"298284","2"
"298803","1"
"298862","1"
"298875","1"
"298888","2"
"298987","1"
"299254","1"
"299298","1"
"299452","1"
"299477","1"
"300227","1"
"300715","2"
"300732","1"
"300736","2"
"301278","3"
"301426","2"
"301625","1"
"301675","2"
"301677","1"
"301864","1"
"302035","1"
"302069","1"
"302131","2"
"302176","2"
"302195","3"
"302254","1"
"302566","1"
"303026","2"
"303053","2"
"303094","1"
"303100","1"
"303126","2"
"303145","2"
"303257","1"
"303341","2"
"303406","1"
"303416","2"
"303599","1"
"303715","1"
"303778","1"
"303914","1"
"303998","1"
"304081","1"
"304082","1"
"304124","1"
"304229","1"
"304232","1"
"304647","2"
"304688","1"
"304762","1"
"305192","1"
"305269","2"
"305350","1"
"305496","2"
"305676","1"
"305912","1"
"305950","1"
"305970","1"
"306432","1"
"306614","1"
"306808","2"
"306917","1"
"307047","1"
"307051","4"
"307333","1"
"307482","1"
"307980","1"
"308434","1"
"308448","1"
"308812","1"
"308870","1"
"309102","1"
"309118","1"
"309124","1"
"309335","1"
"309452","1"
"309471","1"
"309493","2"
"309770","1"
"309899","1"
"310024","2"
"310054","1"
"310988","1"
"311026","1"
"311053","1"
"311562","1"
"312136","2"
"312157","1"
"312405","1"
"312406","2"
"312904","1"
"313116","1"
"313340","1"
"313501","2"
"313698","4"
"314538","1"
"314725","1"
"314959","2"
"315297","1"
"315333","1"
"315733","1"
"316274","1"
"316367","1"
"316552","2"
"316965","2"
"317070","1"
"317484","1"
"317617","1"
"317919","1"
"318251","1"
"318425","1"
"318449","1"
"318579","3"
"319104","1"
"319414","1"
"319578","1"
"320248","1"
"320921","1"
"321177","1"
"321269","1"
"321494","3"
"321858","1"
"322036","1"
"322041","2"
"322128","1"
"322173","1"
"322202","1"
"322480","1"
"322743","1"
"322941","1"
"322975","2"
"323300","1"
"323418","1"
"323496","1"
"323528","4"
"323607","1"
"323960","1"
"324000","1"
"324165","1"
"324244","1"
"324379","1"
"324395","1"
"324509","1"
"324578","1"
"324852","1"
"324990","1"
"325009","1"
"325424","2"
"325558","1"
"325590","2"
"325620","1"
"326036","1"
"326063","1"
"326186","1"
"326496","2"
"327019","1"
"327216","1"
"327569","1"
"327571","1"
"327832","1"
"328354","2"
"328665","1"
"329331","1"
"329556","1"
